Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009001NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009170NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009179NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009184NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009185NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009186NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009199nm,SCFUS2305011doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009199001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009203nm,SCFUS2305012doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009203001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009310nm,SCFUS2305148doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009310001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009315NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009316NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009322NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009323NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009324NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009325NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009326NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009328NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00",0.00,"195 000.00","195 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009340NM,C009340,USD,"1 000 000.00",,,,,,,,,,
,,,,,Customer Name 3176006,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009345NM,C009345,USD,"1 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009392NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","11 000.00","8 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","11 000.00","8 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009440nm,SCFUS2305228doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009440001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009442nm,SCFUS2305229doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009442001nm,Active,6,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,6,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009444NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"9 000.00","9 000.00","7 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","9 000.00","7 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009445NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009538nm,PFDOC,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009539nm,Active,4,"3 000.00",0.00,0.00,"2 400.00",0.00,
,,,,,,,,,,,,,
,,,,,,,4,"3 000.00",0.00,0.00,"2 400.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009678nm,SCFUS2305300doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009678001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009682nm,SCFUS2305302doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009682001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009751nm,SCFUS2305316doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009751001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009753nm,SCFUS2305317doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009753001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009755nm,SCFUS2305318doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009755001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009758nm,SCFUS2305319doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009758001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009760nm,SCFUS2305320doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009760001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009762nm,SCFUS2305321doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009762001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009764nm,SCFUS2305322doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C009764001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009766nm,SCFUS2305323doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009766001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009769nm,SCFUS2305326doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009769001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009813NM,SCFUS2305347No,USD,"999 999.00",,,,,,,,,,
,,,,,C009814NM,Active,2,"85 000.00","85 000.00","64 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"85 000.00","85 000.00","64 000.00","4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009824nm,SCFUS2305352doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009824001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009826nm,SCFUS2305353doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009826001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009839nm,SCFUS2305365doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009839001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009894nm,SCFUS2305388doc1,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009325NM,Active,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009896nm,SCFUS2305391doc1,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009326NM,Active,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00",0.00,0.00,"4 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009959NM,SCFUS2305444No,USD,"999 999.00",,,,,,,,,,
,,,,,C009960,Active,3,"15 000.00","10 000.00","4 000.00","8 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,3,"15 000.00","10 000.00","4 000.00","8 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010384NM,C010384No001,USD,"99 999.00",,,,,,,,,,
,,,,,ZOEYTNM09191,Active,3,"15 000.00",0.00,0.00,"12 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,3,"15 000.00",0.00,0.00,"12 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010411NM,SCFUS2305515No,USD,"999 999.00",,,,,,,,,,
,,,,,C010412NM,Active,3,"15 000.00","5 000.00","4 000.00","8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,3,"15 000.00","5 000.00","4 000.00","8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010568nm,SCFUS2305612doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010568001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010570nm,SCFUS2305613doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010570001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010572nm,SCFUS2305614doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010572001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010574nm,SCFUS2305615doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010574001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010576nm,SCFUS2305616doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010576001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010578nm,SCFUS2305617doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010578001nm,Active,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010580nm,SCFUS2305618doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010580001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010582nm,SCFUS2305619doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010582001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010615nm,SCFUS2305634doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010615001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010627nm,SCFUS2305637doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010627001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010629nm,SCFUS2305638doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010629001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010678nm,SCFUS2305661doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010678001nm,Active,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010682nm,SCFUS2305663doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010682001nm,Active,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010729nm,SCFUS2305689doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010729001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010731nm,SCFUS2305690doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010731001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010827nm,SCFUS2305716doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010827001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010829nm,SCFUS2305717doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010829001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010851nm,SCFUS2305731doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010851001nm,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010927nm,SCFUS010927doc,USD,"100 000.00",,,,,,,,,,
,,,,,C010927nm,Active,3,"30 000.00","30 000.00","24 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,3,"30 000.00","30 000.00","24 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010929nm,SCFUS2305768doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010929001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010931nm,SCFUS2305769doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010931001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010933nm,SCFUS2305770doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010933001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010935nm,SCFUS2305771doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010935001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010937nm,SCFUS2305772doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010937001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010940nm,SCFUS2305773doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010940001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010945nm,C010945doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010945nm,Active,4,"16 000.00","16 000.00","12 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,4,"16 000.00","16 000.00","12 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010947nm,SCFUS2305777doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010947001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010949nm,SCFUS2305778doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010949001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010953NM,C010953-PF,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C010954NM,Active,6,"70 000.00",0.00,0.00,"48 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,6,"70 000.00",0.00,0.00,"48 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010956nm,C010956doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010956001nm,Active,5,"170 000.00","170 000.00","136 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"170 000.00","170 000.00","136 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010958nm,SCFUS2305782doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010958001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010961nm,SCFUS2305783doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010961001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010963nm,SCFUS2305784doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010963001nm,Active,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010965nm,SCFUS2305785doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010965001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010967nm,SCFUS2305786doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010967001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010969nm,SCFUS2305787doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010969001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010971nm,SCFUS2305788doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010971001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C010974nm,C010974doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C010974001nm,Active,13,"103 000.00","103 000.00","80 800.00","1 600.00","1 600.00",
,,,,,,,,,,,,,
,,,,,,,13,"103 000.00","103 000.00","80 800.00","1 600.00","1 600.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011038nm,C011038doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011038001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011162nm,PFC011162,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011162001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011166nm,SCFUS2305837doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011166001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011168nm,SCFUS2305838doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011168001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011170nm,SCFUS2305839doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011170001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C011173nm,SCFUS2305840doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C011173001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
