Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009169NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009171NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009173NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009196nm,SCFUS2305010doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009196001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009207nm,SCFUS2305014doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009207001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009262nm,SCFUS2305096doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009262001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009266nm,SCFUS2305099doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009266001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009268nm,SCFUS2305100doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009268001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009291nm,SCFUS2305131doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009291001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009293nm,SCFUS2305132doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009293001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009295nm,SCFUS2305133doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009295001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009297NM,C009297,USD,"100 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009298NM,C009298,USD,"10 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"100 000.00","100 000.00",0.00,"80 000.00","80 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"100 000.00","100 000.00",0.00,"80 000.00","80 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009299NM,C009299,USD,"10 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"100 000.00","100 000.00",0.00,"80 000.00","80 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"100 000.00","100 000.00",0.00,"80 000.00","80 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009300NM,C009300,USD,"10 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00",0.00,"8 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009301nm,SCFUS2305139doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009301001nm,Active,1,"100 000.00",0.00,0.00,"80 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"100 000.00",0.00,0.00,"80 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009303NM,C009303,USD,"10 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,2,"110 000.00",0.00,0.00,"88 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"110 000.00",0.00,0.00,"88 000.00","8 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009312NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009313NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009314NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009321NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009346nm,C009346,USD,"1 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009347nm,C009347,USD,"1 000 000.00",,,,,,,,,,
,,,,,Adam Test Company 01,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009349nm,C009349doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009349001nm,Active,1,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"20 000.00",0.00,0.00,"16 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009352NM,20230327agreenmentNo,USD,"60 000.00",,,,,,,,,,
,,,,,C009351,Active,2,"5 000.00","5 000.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,2,"5 000.00","5 000.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009354NM,2023No001,USD,"80 000.00",,,,,,,,,,
,,,,,C009353nm,Active,1,"5 000.00","5 000.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00","5 000.00",0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009359nm,SCFUS2305188doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009359001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009361nm,SCFUS2305189doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009361001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009363nm,SCFUS2305190doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009363001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009365NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009366nm,SCFUS2305192doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009366001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009369nm,SCFUS2305193doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009369001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009371nm,SCFUS2305194doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009371001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009373nm,SCFUS2305195doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009373001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009375nm,SCFUS2305196doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009375001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009377nm,SCFUS2305197doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C009377001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009379nm,SCFUS2305198doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009379001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009381nm,SCFUS2305199doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009381001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009383nm,SCFUS2305200doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009383001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009385nm,SCFUS2305201doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009385001nm,Active,1,"9 800.00","9 800.00","7 840.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"9 800.00","9 800.00","7 840.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009387nm,SCFUS2305202doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009387001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009389nm,SCFUS2305203doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009389001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009394nm,SCFUS2305207doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009394001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009396nm,SCFUS2305208doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009396001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009404nm,SCFUS2305212doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009404001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009406nm,SCFUS2305213doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009406001nm,Active,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009408nm,SCFUS2305214doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009408001nm,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009410nm,SCFUS2305215doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009410001nm,Active,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009412nm,SCFUS2305216doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009412001nm,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009414nm,SCFUS2305217doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009414001nm,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009416nm,SCFUS2305218doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009416001nm,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009418nm,SCFUS2305219doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009418001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009420nm,SCFUS2305220doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009420001nm,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009422nm,SCFUS2305221doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009422001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009424nm,SCFUS2305222doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009424001nm,Active,5,"13 080.00","13 080.00","10 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"13 080.00","13 080.00","10 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009426nm,SCFUS2305223doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009426001nm,Active,5,"13 080.00","13 080.00","10 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"13 080.00","13 080.00","10 464.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009430nm,SCFUS2305226doc,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,C009430001nm,Active,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009434nm,SCFUS2305224doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009434001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009436nm,SCFUS2305227doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009436001nm,Active,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009447nm,SCFUS2305233doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009447001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009449nm,SCFUS2305234doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009449001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009451nm,SCFUS2305235doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009451001nm,Active,5,"13 000.00","13 000.00","10 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"13 000.00","13 000.00","10 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009453nm,SCFUS2305236doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009453001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009455nm,SCFUS2305237doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009455001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009457nm,SCFUS2305238doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009457001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009459nm,SCFUS2305239doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009459001nm,Active,1,"9 800.00",0.00,0.00,"7 840.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"9 800.00",0.00,0.00,"7 840.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009461nm,SCFUS2305240doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009461001nm,Active,5,"13 000.00","13 000.00","10 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"13 000.00","13 000.00","10 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009463nm,SCFUS2305241doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009463001nm,Active,5,"4 000.00","4 000.00","3 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"4 000.00","4 000.00","3 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009465nm,SCFUS2305242doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009465001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009468nm,SCFUS2305243doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009468001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009470nm,SCFUS2305244doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009470001nm,Active,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009472nm,SCFUS2305245doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009472001nm,Active,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009474nm,SCFUS2305246doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009474001nm,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009479nm,SCFUS2305249doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009479001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009481nm,SCFUS2305250doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009481001nm,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009485nm,SCFUS2305251doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C009485001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009487nm,SCFUS2305252doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009487001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009489nm,SCFUS2305253doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009489001nm,Active,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009491nm,SCFUS2305254doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009491001nm,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009494nm,SCFUS2305255doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C009494001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009496nm,SCFUS2305256doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009496001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009498nm,SCFUS2305257doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009498001nm,Active,5,"9 000.00","9 000.00","7 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","9 000.00","7 200.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009500nm,SCFUS2305258doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009500001nm,Active,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009507nm,SCFUS2305261doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009507001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009509nm,SCFUS2305262doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009509001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009511nm,SCFUS2305263doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009511001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009513nm,SCFUS2305264doc,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,C009513001nm,Active,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","-1 800.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
